epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
305,1.261,1.590,1.283,0.442,0.592,0.478,0.332
306,1.261,1.587,1.284,0.439,0.602,0.479,0.332
307,1.261,1.590,1.284,0.437,0.605,0.479,0.332
308,1.260,1.585,1.282,0.442,0.593,0.479,0.332
309,1.258,1.589,1.284,0.441,0.597,0.478,0.332
310,1.261,1.587,1.284,0.440,0.594,0.478,0.331
311,1.259,1.587,1.283,0.441,0.597,0.478,0.332
312,1.261,1.587,1.283,0.442,0.593,0.479,0.332
313,1.258,1.583,1.283,0.442,0.591,0.479,0.332
314,1.259,1.585,1.283,0.442,0.598,0.479,0.332
315,1.257,1.584,1.282,0.442,0.597,0.479,0.333
316,1.260,1.586,1.283,0.446,0.592,0.480,0.333
317,1.258,1.585,1.282,0.443,0.596,0.480,0.332
318,1.258,1.584,1.282,0.441,0.597,0.480,0.332
319,1.258,1.581,1.280,0.444,0.591,0.480,0.332
320,1.257,1.580,1.280,0.447,0.587,0.480,0.333
321,1.258,1.576,1.281,0.443,0.590,0.480,0.332
322,1.257,1.579,1.279,0.446,0.583,0.479,0.332
323,1.255,1.579,1.280,0.441,0.598,0.480,0.332
324,1.258,1.576,1.280,0.440,0.596,0.479,0.332
325,1.253,1.578,1.280,0.441,0.596,0.479,0.333
326,1.255,1.579,1.280,0.446,0.585,0.479,0.333
327,1.256,1.578,1.279,0.448,0.584,0.478,0.333
328,1.254,1.572,1.278,0.448,0.581,0.479,0.333
329,1.257,1.579,1.280,0.451,0.577,0.479,0.332
330,1.253,1.573,1.279,0.446,0.591,0.480,0.333
331,1.255,1.573,1.278,0.447,0.585,0.479,0.333
332,1.253,1.575,1.278,0.450,0.580,0.479,0.333
333,1.256,1.574,1.278,0.450,0.583,0.480,0.333
334,1.251,1.571,1.276,0.452,0.580,0.480,0.333
335,1.254,1.571,1.277,0.451,0.580,0.480,0.333
336,1.255,1.573,1.279,0.453,0.577,0.480,0.333
337,1.251,1.571,1.277,0.454,0.580,0.480,0.333
338,1.250,1.567,1.277,0.454,0.582,0.480,0.333
339,1.255,1.567,1.277,0.448,0.592,0.481,0.334
340,1.252,1.573,1.276,0.451,0.589,0.481,0.334
341,1.254,1.572,1.279,0.451,0.591,0.481,0.334
342,1.252,1.568,1.278,0.453,0.587,0.481,0.334
343,1.251,1.566,1.275,0.451,0.591,0.481,0.334
344,1.252,1.567,1.277,0.453,0.585,0.481,0.334
345,1.251,1.568,1.277,0.453,0.586,0.482,0.335
346,1.253,1.564,1.277,0.455,0.581,0.482,0.335
347,1.252,1.568,1.278,0.452,0.586,0.482,0.335
348,1.254,1.565,1.275,0.453,0.582,0.483,0.335
349,1.248,1.560,1.274,0.451,0.584,0.482,0.335
350,1.250,1.562,1.275,0.451,0.586,0.482,0.335
351,1.250,1.562,1.274,0.450,0.585,0.481,0.335
352,1.250,1.559,1.275,0.453,0.583,0.481,0.334
353,1.250,1.560,1.274,0.449,0.591,0.482,0.335
354,1.248,1.562,1.275,0.447,0.597,0.483,0.335
355,1.249,1.561,1.274,0.447,0.598,0.484,0.336
356,1.246,1.558,1.272,0.449,0.597,0.484,0.336
357,1.249,1.558,1.274,0.452,0.591,0.484,0.336
358,1.248,1.555,1.273,0.453,0.591,0.484,0.336
359,1.248,1.556,1.274,0.452,0.591,0.485,0.336
360,1.249,1.557,1.274,0.452,0.590,0.484,0.336
361,1.247,1.556,1.272,0.450,0.591,0.484,0.336
362,1.248,1.554,1.274,0.452,0.590,0.484,0.336
363,1.246,1.553,1.271,0.449,0.594,0.484,0.336
364,1.243,1.554,1.272,0.453,0.588,0.485,0.336
365,1.247,1.553,1.273,0.454,0.585,0.485,0.337
366,1.245,1.552,1.273,0.452,0.589,0.485,0.337
367,1.244,1.551,1.273,0.451,0.593,0.485,0.337
368,1.246,1.554,1.272,0.450,0.597,0.486,0.337
369,1.244,1.549,1.271,0.450,0.600,0.485,0.337
370,1.247,1.550,1.271,0.452,0.598,0.486,0.338
371,1.244,1.547,1.271,0.450,0.602,0.486,0.337
372,1.245,1.547,1.272,0.452,0.599,0.485,0.337
373,1.245,1.549,1.270,0.452,0.595,0.486,0.338
374,1.242,1.546,1.270,0.446,0.612,0.486,0.338
375,1.243,1.545,1.269,0.447,0.606,0.486,0.338
376,1.243,1.546,1.270,0.450,0.601,0.487,0.338
377,1.244,1.546,1.271,0.451,0.599,0.487,0.338
378,1.241,1.545,1.269,0.451,0.599,0.486,0.338
379,1.243,1.544,1.270,0.451,0.598,0.486,0.338
380,1.242,1.542,1.270,0.451,0.598,0.486,0.337
381,1.241,1.542,1.269,0.451,0.597,0.486,0.338
382,1.239,1.542,1.269,0.446,0.604,0.486,0.338
383,1.241,1.536,1.268,0.445,0.610,0.486,0.338
384,1.240,1.537,1.267,0.446,0.612,0.486,0.339
385,1.242,1.540,1.268,0.449,0.608,0.487,0.339
386,1.239,1.540,1.268,0.450,0.602,0.487,0.339
